['36', '-', '24', '=', '2']
['20', '-', '24', '=', '2']
['29', '-', '24', '=', '2']
['26', '-', '34', '=', '2']
['26', '-', '24', '=', '3']
['25', '+', '24', '=', '2']
['26', '=', '24', '-', '2']
['0', 'x', '4', '=', '36']
['6', 'x', '4', '=', '36']
['9', 'x', '4', '=', '26']
['9', 'x', '4', '=', '56']
['9', 'x', '4', '=', '30']
['9', 'x', '4', '=', '39']
['3', 'x', '4', '=', '96']
['3', 'x', '4', '=', '38']
['5', 'x', '4', '=', '96']
['5', 'x', '4', '=', '38']
['8', 'x', '4', '=', '35']
['9', 'x', '4', '=', '95']
['35', '-', '19', '=', '36']
['53', '-', '19', '=', '36']
['55', '-', '10', '=', '36']
['55', '-', '16', '=', '36']
['55', '-', '19', '=', '26']
['55', '-', '19', '=', '56']
['55', '-', '19', '=', '30']
['55', '-', '19', '=', '39']
['65', '-', '13', '=', '36']
['65', '-', '15', '=', '36']
['65', '-', '19', '=', '35']
['95', '-', '13', '=', '36']
['95', '-', '15', '=', '36']
['95', '-', '19', '=', '35']
['56', '-', '13', '=', '36']
['56', '-', '15', '=', '36']
['56', '-', '19', '=', '35']
['59', '-', '13', '=', '36']
['59', '-', '15', '=', '36']
['59', '-', '19', '=', '35']
['55', '+', '13', '=', '36']
['55', '+', '15', '=', '36']
['55', '+', '19', '=', '35']
['55', '=', '19', '-', '36']
['55', '-', '73', '=', '36']
['55', '-', '75', '=', '36']
['55', '-', '79', '=', '35']
['55', '-', '13', '=', '96']
['55', '-', '13', '=', '38']
['55', '-', '15', '=', '96']
['55', '-', '15', '=', '38']
['55', '-', '18', '=', '35']
['55', '-', '19', '=', '95']
['6', 'x', '6', '=', '0']
['6', 'x', '9', '=', '0']
['6', 'x', '0', '=', '6']
['6', 'x', '0', '=', '9']
['5', 'x', '8', '=', '0']
['5', 'x', '0', '=', '8']
['0', 'x', '4', '=', '24']
['9', 'x', '4', '=', '24']
['6', 'x', '4', '=', '34']
['1', 'x', '2', '=', '3']
['1', 'x', '5', '=', '3']
['1', 'x', '3', '=', '2']
['1', 'x', '3', '=', '5']
['8', 'x', '0', '=', '48']
['8', 'x', '9', '=', '48']
['0', 'x', '8', '=', '48']
['9', 'x', '8', '=', '48']
['8', 'x', '8', '=', '40']
['8', 'x', '8', '=', '46']
['8', 'x', '8', '=', '49']
['0', '+', '57', '=', '63']
['9', '+', '57', '=', '63']
['6', '+', '37', '=', '63']
['6', '+', '57', '=', '93']
['6', '+', '57', '=', '62']
['6', '+', '57', '=', '65']
['5', '+', '67', '=', '63']
['5', '+', '97', '=', '63']
['5', '+', '57', '=', '83']
['5', '+', '57', '=', '69']
['8', '-', '57', '=', '63']
['8', '+', '51', '=', '63']
['8', '+', '57', '=', '53']
['6', '-', '67', '=', '63']
['6', '-', '97', '=', '63']
['6', '-', '57', '=', '83']
['6', '-', '57', '=', '69']
['6', '+', '61', '=', '63']
['6', '+', '67', '=', '53']
['6', '+', '91', '=', '63']
['6', '+', '97', '=', '53']
['6', '+', '51', '=', '83']
['6', '+', '51', '=', '69']
['6', '+', '57', '=', '59']
['3', 'x', '5', '=', '25']
['5', 'x', '3', '=', '25']
['5', 'x', '5', '=', '35']
['5', 'x', '5', '=', '23']
['66', '-', '13', '=', '83']
['90', '-', '13', '=', '83']
['99', '-', '13', '=', '83']
['96', '-', '12', '=', '83']
['96', '-', '15', '=', '83']
['96', '-', '13', '=', '82']
['96', '-', '13', '=', '85']
['38', '-', '13', '=', '83']
['36', '+', '13', '=', '83']
['36', '-', '73', '=', '83']
['36', '-', '19', '=', '83']
['36', '-', '13', '=', '89']
['58', '-', '13', '=', '83']
['56', '+', '13', '=', '83']
['56', '-', '73', '=', '83']
['56', '-', '19', '=', '83']
['56', '-', '13', '=', '89']
['85', '-', '13', '=', '83']
['86', '-', '13', '=', '63']
['86', '-', '13', '=', '93']
['95', '+', '13', '=', '83']
['95', '-', '73', '=', '83']
['95', '-', '19', '=', '83']
['95', '-', '13', '=', '89']
['98', '-', '13', '=', '63']
['98', '-', '13', '=', '93']
['96', '+', '13', '=', '63']
['96', '+', '13', '=', '93']
['96', '=', '13', '-', '83']
['96', '-', '73', '=', '63']
['96', '-', '73', '=', '93']
['96', '-', '19', '=', '63']
['96', '-', '19', '=', '93']
['96', '-', '13', '=', '69']
['96', '-', '13', '=', '99']
['0', 'x', '2', '=', '18']
['6', 'x', '2', '=', '18']
['9', 'x', '3', '=', '18']
['3', 'x', '2', '=', '78']
['5', 'x', '2', '=', '78']
['8', 'x', '2', '=', '10']
['8', 'x', '2', '=', '19']
['9', 'x', '2', '=', '70']
['9', 'x', '2', '=', '76']
['9', 'x', '2', '=', '79']
['0', '+', '15', '=', '24']
['6', '+', '15', '=', '24']
['9', '+', '13', '=', '24']
['9', '+', '15', '=', '34']
['3', '+', '75', '=', '24']
['3', '+', '16', '=', '24']
['3', '+', '19', '=', '24']
['5', '+', '75', '=', '24']
['5', '+', '16', '=', '24']
['8', '-', '15', '=', '24']
['9', '-', '75', '=', '24']
['9', '-', '16', '=', '24']
['9', '-', '19', '=', '24']
['18', '+', '43', '=', '60']
['18', '+', '42', '=', '90']
['18', '+', '42', '=', '66']
['18', '+', '42', '=', '69']
['70', '+', '42', '=', '60']
['76', '+', '42', '=', '60']
['79', '+', '42', '=', '60']
['78', '-', '42', '=', '60']
['78', '+', '42', '=', '50']
['10', '+', '42', '=', '80']
['10', '+', '42', '=', '68']
['16', '+', '42', '=', '80']
['16', '+', '42', '=', '68']
['19', '+', '42', '=', '80']
['19', '+', '42', '=', '68']
['18', '-', '42', '=', '80']
['18', '-', '42', '=', '68']
['18', '+', '42', '=', '58']
['14', '+', '37', '=', '71']
['74', '-', '57', '=', '71']
['74', '+', '51', '=', '71']
['74', '+', '57', '=', '11']
['14', '-', '67', '=', '71']
['14', '-', '97', '=', '71']
['14', '-', '57', '=', '77']
['14', '+', '61', '=', '71']
['14', '+', '67', '=', '11']
['14', '+', '91', '=', '71']
['14', '+', '97', '=', '11']
['14', '+', '51', '=', '77']
['14', '+', '57', '=', '17']
['76', '+', '7', '=', '77']
['79', '+', '7', '=', '77']
['18', '+', '7', '=', '77']
['78', '-', '7', '=', '77']
['78', '+', '1', '=', '77']
['78', '+', '7', '=', '17']
['78', '+', '7', '=', '71']
['74', '-', '3', '=', '69']
['74', '-', '5', '=', '99']
['74', '-', '5', '=', '60']
['74', '-', '5', '=', '66']
['14', '+', '5', '=', '69']
['14', '-', '6', '=', '69']
['14', '-', '9', '=', '69']
['14', '-', '5', '=', '89']
['14', '-', '5', '=', '68']
['74', '+', '5', '=', '59']
['74', '+', '5', '=', '63']
['74', '+', '5', '=', '65']
['74', '=', '5', '-', '69']
['74', '-', '6', '=', '59']
['74', '-', '6', '=', '63']
['74', '-', '6', '=', '65']
['74', '-', '9', '=', '59']
['74', '-', '9', '=', '63']
['74', '-', '5', '=', '58']
['74', '-', '5', '=', '83']
['74', '-', '5', '=', '85']
['0', 'x', '8', '=', '48']
['9', 'x', '8', '=', '48']
['8', 'x', '0', '=', '48']
['8', 'x', '9', '=', '48']
['8', 'x', '8', '=', '40']
['8', 'x', '8', '=', '46']
['8', 'x', '8', '=', '49']
['12', '-', '5', '=', '8']
['15', '-', '5', '=', '8']
['13', '-', '3', '=', '8']
['73', '-', '5', '=', '0']
['73', '-', '5', '=', '6']
['73', '-', '5', '=', '9']
['19', '-', '5', '=', '0']
['19', '-', '5', '=', '6']
['19', '-', '5', '=', '9']
['13', '+', '5', '=', '0']
['13', '+', '5', '=', '6']
['13', '+', '5', '=', '9']
['13', '=', '5', '-', '8']
['13', '-', '6', '=', '0']
['13', '-', '6', '=', '6']
['13', '-', '6', '=', '9']
['13', '-', '9', '=', '0']
['13', '-', '9', '=', '6']
['13', '-', '9', '=', '9']
['7', 'x', '3', '=', '14']
['1', 'x', '2', '=', '74']
['5', '+', '26', '=', '28']
['2', 'x', '26', '=', '28']
['2', '+', '56', '=', '28']
['2', '+', '26', '=', '58']
['3', '+', '26', '=', '28']
['8', '+', '26', '=', '22']
['8', '+', '26', '=', '23']
['8', '+', '26', '=', '25']
['0', '-', '26', '=', '28']
['0', '+', '25', '=', '28']
['0', '+', '26', '=', '20']
['0', '+', '26', '=', '29']
['6', '-', '26', '=', '28']
['6', '+', '25', '=', '28']
['6', '+', '26', '=', '20']
['6', '+', '26', '=', '26']
['6', '+', '26', '=', '29']
['9', '-', '26', '=', '28']
['9', '+', '25', '=', '28']
